NO,NIK,BUSINESS_UNIT,JOB_LEVEL,LOCATION,DEPARTMENT,JOB_POSITION,PK,BEHAVIOR,ADDITIONAL POINT,PERFORMANCE,COMPETENCY,LEARNING POINT
31.0,201400561,PT. HADJI KALLA (HOLDING),OPERATIONAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,BUSINESS DEVELOPMENT & SYNERGY DEVCON DEPARTMENT,BUSINESS DEVELOPMENT & SYNERGY DEPARTMENT HEAD,1.0,0.8994791666666666,0.03,1.014921875,1.0666666666666667,1.0
32.0,200800340,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,BUSINESS DEVELOPMENT & SYNERGY DEVCON DEPARTMENT,BUSINESS DEVELOPMENT & SYNERGY ASSOCIATES,1.0,0.9838541666666668,0.015,1.0125781249999999,1.0200000000000002,1.0
33.0,202003810,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,BUSINESS DEVELOPMENT & SYNERGY DEVCON DEPARTMENT,BUSINESS DEVELOPMENT & SYNERGY ASSOCIATES,1.0,0.9526041666666668,0.02,1.012890625,1.0533333333333332,1.0
34.0,201903381,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,BUSINESS DEVELOPMENT & SYNERGY DEVCON DEPARTMENT,BUSINESS DEVELOPMENT & SYNERGY SENIOR ANALYST,1.0,0.921875,0.0,0.98828125,0.9844444444444446,1.0
35.0,201200410,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,BUSINESS DEVELOPMENT & SYNERGY DEVCON DEPARTMENT,PJS. BUSINESS DEVELOPMENT ASSOCIATES,1.0,0.8770833333333333,0.025,1.0065625,0.9844444444444446,1.0
36.0,200500231,PT. HADJI KALLA (HOLDING),STRATEGIC LEADERS,HEAD OFFICE WISMA KALLA LT. 13,BUSINESS DEVELOPMENT & SYNERGY OTO DIVISION,BUSINESS DEVELOPMENT & SYNERGY DIVISION HEAD,0.975,0.8177083333333335,0.01,0.96140625,1.0177777777777777,1.0
37.0,201400568,PT. HADJI KALLA (HOLDING),OPERATIONAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,BUSINESS DEVELOPMENT & SYNERGY OTO DIVISION,BUSINESS DEVELOPMENT & SYNERGY SENIOR ASSOCIATES,1.0,0.9114583333333334,0.035,1.02171875,1.04,1.0
38.0,201300524,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,BUSINESS DEVELOPMENT & SYNERGY OTO DIVISION,BUSINESS DEVELOPMENT & SYNERGY ASSOCIATES,1.0,0.9026041666666668,0.0,0.985390625,0.9399999999999998,1.0
39.0,201400588,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,BUSINESS DEVELOPMENT & SYNERGY OTO DIVISION,BUSINESS DEVELOPMENT & SYNERGY ASSOCIATES,1.0,0.9395833333333332,0.01,1.0009375,1.0733333333333335,1.0
40.0,201700738,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,BUSINESS DEVELOPMENT & SYNERGY OTO DIVISION,BUSINESS DEVELOPMENT & SYNERGY ASSOCIATES,1.0,0.8614583333333332,0.03,1.0092187499999998,0.9955555555555557,1.0
41.0,201800885,PT. HADJI KALLA (HOLDING),STRATEGIC LEADERS,HEAD OFFICE WISMA KALLA LT. 13,BUSINESS DEVELOPMENT DIVISION,BUSINESS DEVELOPMENT DIVISION HEAD,0.923,0.9130208333333334,0.0,0.921503125,1.1,1.0
42.0,200700298,PT. HADJI KALLA (HOLDING),STRATEGIC LEADERS,HEAD OFFICE WISMA KALLA LT. 3,"CORP. INFORMATION, COMMUNICATION & TECHNOLOGY DIVISION","CORP. INFORMATION, COMMUNICATION & TECHNOLOGY DIVISION HEAD",0.996,0.828125,0.02,0.9908187500000001,1.051111111111111,1.0
43.0,199400044,PT. HADJI KALLA (HOLDING),STRATEGIC LEADERS,HEAD OFFICE WISMA KALLA LT. 13,CORP. PERFORMANCE & CULTURE DIVISION,CORP. PERFORMANCE & CULTURE DIVISION HEAD,0.997,0.9286458333333334,0.01,0.9967468749999999,1.028888888888889,1.0
44.0,201400562,PT. HADJI KALLA (HOLDING),OPERATIONAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,CORP. PERFORMANCE & CULTURE DIVISION,PJS. CORPORATE PERFORMANCE & EVALUATION SENIOR ASSOCIATES,0.991,0.9015625,0.005,0.982584375,0.9866666666666668,1.0
45.0,201400560,PT. HADJI KALLA (HOLDING),OPERATIONAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,CORP. PERFORMANCE & CULTURE DIVISION,PJS. CORPORATE PERFORMANCE & EVALUATION SENIOR ASSOCIATES,0.99,0.9458333333333334,0.025,1.008375,0.9800000000000001,1.0
46.0,201600681,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,CORP. PERFORMANCE & CULTURE DIVISION,CORPORATE PERFORMANCE & EVALUATION SENIOR ANALYST,0.991,0.8953125,0.07,1.046646875,0.9822222222222223,1.0
47.0,200500235,PT. HADJI KALLA (HOLDING),OPERATIONAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,CORPORATE COMMUNICATION DEPARTMENT,PJS. CORPORATE COMMUNICATION DEPARTMENT HEAD,0.996,0.9192708333333334,0.02,1.004490625,0.9688888888888889,1.0
48.0,201903170,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,CORPORATE COMMUNICATION DEPARTMENT,CORPORATE COMMUNICATION OFFICER,0.999,0.8927083333333333,0.0,0.98305625,1.0488888888888888,1.0
49.0,202003997,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,CORPORATE COMMUNICATION DEPARTMENT,CORPORATE COMMUNICATION OFFICER,0.999,0.925,0.0,0.9879,0.9400000000000001,1.0
50.0,201700700,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,CORPORATE COMMUNICATION DEPARTMENT,CORPORATE COMMUNICATION SENIOR OFFICER,0.998,0.9552083333333334,0.02,1.0115812499999999,1.1155555555555559,1.0
51.0,201903053,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,CORPORATE COMMUNICATION DEPARTMENT,DESIGN & VIDEO GRAPHICS SENIOR ANALYST,0.993,0.95,0.02,1.00655,1.0666666666666669,1.0
52.0,201700741,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,CORPORATE COMMUNICATION DEPARTMENT,DESIGN & VIDEO GRAPHICS SENIOR ANALYST,0.993,0.9770833333333334,0.01,1.0006125,1.0644444444444447,1.0
53.0,201600732,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,CORPORATE COMMUNICATION DEPARTMENT,MEDIA RELATION OFFICER,0.999,0.9708333333333334,0.005,0.999775,1.068888888888889,1.0
54.0,201903266,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,CORPORATE COMMUNICATION DEPARTMENT,MEDIA RELATION OFFICER,0.999,0.959375,0.0,0.99305625,1.0733333333333335,1.0
55.0,201903572,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,CORPORATE COMMUNICATION DEPARTMENT,MEDIA RELATION OFFICER,0.999,0.9625,0.01,1.003525,1.077777777777778,1.0
56.0,202104129,PT. HADJI KALLA (HOLDING),STAFF/OPERATOR,HEAD OFFICE WISMA KALLA LT. 13,CORPORATE COMMUNICATION DEPARTMENT,DESIGN & VIDEO GRAPHICS ANALYST,1.0,0.9401041666666669,0.0,0.991015625,1.0,0.53
57.0,201300499,PT. HADJI KALLA (HOLDING),OPERATIONAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,CORPORATE CULTURE DEPARTMENT,CORPORATE CULTURE DEPARTMENT HEAD,0.996,0.9416666666666668,0.055,1.04285,1.068888888888889,1.0
58.0,201801110,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,CORPORATE CULTURE DEPARTMENT,CORPORATE CULTURE OFFICER,0.988,0.9447916666666668,0.03,1.01151875,1.0844444444444445,1.0
59.0,201700743,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,CORPORATE CULTURE DEPARTMENT,CORPORATE CULTURE OFFICER,0.963,0.85,0.02,0.9660500000000001,1.0666666666666669,1.0
60.0,199700121,PT. HADJI KALLA (HOLDING),OPERATIONAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,CORPORATE FINANCE DEPARTMENT,CORPORATE TAX DEPARTMENT HEAD,0.985,0.9901041666666668,0.005,0.990765625,1.051111111111111,0.95
61.0,201903029,PT. HADJI KALLA (HOLDING),OPERATIONAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,CORPORATE FINANCE DEPARTMENT,PJS. CORPORATE FINANCE DEPARTMENT HEAD,0.844,0.9875,0.005,0.8705249999999999,1.0911111111111111,1.0
62.0,201500618,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,CORPORATE FINANCE DEPARTMENT,CORPORATE TAX OFFICER,0.99,0.9828125,0.015,1.0039218749999999,1.1,1.0
63.0,201700992,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,CORPORATE FINANCE DEPARTMENT,FINANCE CONTROL OFFICER,0.844,0.9927083333333332,0.02,0.88630625,1.1600000000000001,1.0
64.0,201500634,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,CORPORATE FINANCE DEPARTMENT,FINANCE CONTROL SENIOR OFFICER,0.951,0.9557291666666666,0.01,0.9617093749999999,1.011111111111111,1.0
65.0,201903024,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,CORPORATE FINANCE DEPARTMENT,PJS. CORPORATE TAX OFFICER,0.968,0.971875,0.0,0.96858125,1.017777777777778,1.0
66.0,200000161,PT. HADJI KALLA (HOLDING),STRATEGIC LEADERS,HEAD OFFICE WISMA KALLA LT. 14,"CORPORATE FINANCE, ACCOUNTING & TAX DIVISION","CORPORATE FINANCE, ACCOUNTING & TAX DIVISION HEAD",0.903,0.95625,0.025,0.9359875,1.1333333333333333,1.0
67.0,201903540,PT. HADJI KALLA (HOLDING),OPERATIONAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,CORPORATE LEGAL DEPARTMENT,CORPORATE LEGAL DEPARTMENT HEAD,0.99,0.8046875,0.03,0.9922031250000001,1.1044444444444443,1.0
68.0,201700702,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,CORPORATE LEGAL DEPARTMENT,COMMERCIAL LEGAL SENIOR OFFICER,1.0,0.9135416666666668,0.03,1.01703125,0.9688888888888889,1.0
69.0,201500624,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,CORPORATE LEGAL DEPARTMENT,COMMERCIAL LEGAL SENIOR OFFICER,1.0,0.94375,0.03,1.0215625,1.0911111111111111,1.0
70.0,201000398,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,CORPORATE LEGAL DEPARTMENT,LITIGATION ASSOCIATES,0.991,0.9317708333333332,0.005,0.9871156249999999,1.031111111111111,1.0
71.0,201903042,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,CORPORATE LEGAL DEPARTMENT,LITIGATION SENIOR OFFICER,0.991,0.8760416666666666,0.025,0.9987562499999999,1.0066666666666666,1.0
72.0,201700698,PT. HADJI KALLA (HOLDING),OPERATIONAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,CORPORATE MARKETING SERVICES DEPARTMENT,CORPORATE MARKETING SERVICES DEPARTMENT HEAD,0.97,0.8541666666666667,0.035,0.9876250000000001,1.008888888888889,1.0
73.0,199600073,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,CORPORATE MARKETING SERVICES DEPARTMENT,CALL CENTER & CUST. SERVICES ASSOCIATES,0.997,0.9744791666666668,0.035,1.0286218749999998,1.1222222222222222,1.0
74.0,201902910,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,CORPORATE MARKETING SERVICES DEPARTMENT,DATA MANAGEMENT SENIOR ANALYST,0.978,0.8578125,0.03,0.989971875,0.9866666666666668,1.0
75.0,201903611,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,CORPORATE MARKETING SERVICES DEPARTMENT,DIGITAL MEDIA SENIOR ANALYST,0.976,0.8984375,0.01,0.974365625,1.057777777777778,1.0
76.0,201700706,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,CORPORATE MARKETING SERVICES DEPARTMENT,DIGITAL MEDIA SENIOR ANALYST,0.966,0.9515625,0.025,0.9888343749999999,1.0,1.0
77.0,202104088,PT. HADJI KALLA (HOLDING),STAFF/OPERATOR,HEAD OFFICE WISMA KALLA LT. 13,CORPORATE MARKETING SERVICES DEPARTMENT,EVENT MANAGEMENT ANALYST,1.0,0.9333333333333332,0.0,0.99,0.9914285714285715,1.0
78.0,202104078,PT. HADJI KALLA (HOLDING),STAFF/OPERATOR,NIPAH MALL,CORPORATE MARKETING SERVICES DEPARTMENT,KALLA CARE & CUSTOMER SERVICES ANALYST,0.994,0.98125,0.0,0.9920875,1.0085714285714287,1.0
79.0,202104077,PT. HADJI KALLA (HOLDING),STAFF/OPERATOR,NIPAH MALL,CORPORATE MARKETING SERVICES DEPARTMENT,KALLA CARE & CUSTOMER SERVICES ANALYST,1.0,0.9364583333333334,0.0,0.99046875,1.0171428571428571,1.0
80.0,202104076,PT. HADJI KALLA (HOLDING),STAFF/OPERATOR,NIPAH MALL,CORPORATE MARKETING SERVICES DEPARTMENT,KALLA CARE & CUSTOMER SERVICES ANALYST,0.998,0.98125,0.0,0.9954875,1.0,1.0
81.0,199200037,PT. HADJI KALLA (HOLDING),OPERATIONAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,CORPORATE SOCIAL RESPONSIBILITY DEPARTMENT,CORPORATE SOCIAL RESPONSIBILITY SPECIALIST,0.994,0.7729166666666667,0.02,0.9808375,1.1177777777777778,1.0
82.0,201801076,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 3,CORPORATE SOCIAL RESPONSIBILITY DEPARTMENT,BUSINESS INTELLIGENCE SENIOR ANALYST,1.0,0.9765625,0.02,1.0164843749999999,1.1600000000000001,1.0
83.0,201700742,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 3,DATA & APPLICATION SOLUTION DEPARTMENT,APPLICATION SUPPORT SENIOR ANALYST,1.0,0.9416666666666668,0.02,1.01125,1.1977777777777778,1.0
84.0,201500662,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 3,DATA & APPLICATION SOLUTION DEPARTMENT,APPLICATION SUPPORT SENIOR ANALYST,1.0,0.996875,0.01,1.00953125,1.1977777777777778,1.0
85.0,201700737,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 3,DATA & APPLICATION SOLUTION DEPARTMENT,DATA ENGINEER ASSOCIATES,1.0,0.9963541666666668,0.01,1.0094531249999998,1.1444444444444444,1.0
86.0,201600672,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 3,DATA & APPLICATION SOLUTION DEPARTMENT,DATA ENGINEER SENIOR ANALYST,1.0,0.9286458333333332,0.01,0.999296875,1.068888888888889,1.0
87.0,202004002,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 3,DATA & APPLICATION SOLUTION DEPARTMENT,DATA SCIENTIST ASSOCIATES,1.0,0.996875,0.005,1.0045312499999999,1.1488888888888888,1.0
88.0,201700720,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 3,DATA & APPLICATION SOLUTION DEPARTMENT,DATABASE ADMINISTRATOR SENIOR ANALYST,1.0,0.9958333333333332,0.01,1.009375,1.1488888888888888,1.0
89.0,201800883,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 3,DATA & APPLICATION SOLUTION DEPARTMENT,ERP SUPPORT ASSOCIATES,1.0,0.9932291666666668,0.02,1.018984375,1.1977777777777778,1.0
90.0,202003978,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 3,DATA & APPLICATION SOLUTION DEPARTMENT,ERP SUPPORT SENIOR ANALYST,1.0,0.9536458333333332,0.01,1.003046875,1.1942857142857144,1.0
91.0,202104137,PT. HADJI KALLA (HOLDING),STAFF/OPERATOR,HEAD OFFICE WISMA KALLA LT. 3,DATA & APPLICATION SOLUTION DEPARTMENT,APPLICATION SUPPORT ANALYST,1.0,0.9927083333333332,0.0,0.99890625,1.1885714285714286,0.55
92.0,201200636,PT. HADJI KALLA (HOLDING),OPERATIONAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,EXTERNAL RELATION DEPARTMENT,EXTERNAL RELATION SENIOR ASSOCIATES,0.994,0.765625,0.01,0.96974375,0.9555555555555556,1.0
93.0,201300464,PT. HADJI KALLA (HOLDING),OPERATIONAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,EXTERNAL RELATION DEPARTMENT,PJS. EXTERNAL RELATION SENIOR ASSOCIATES,0.994,0.7593749999999999,0.02,0.97880625,0.9244444444444444,1.0
94.0,200900338,PT. HADJI KALLA (HOLDING),OPERATIONAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,FINANCE & ACCOUNTING OPERATION HOLDING & HSI DEPARTMENT,FINANCE & ACCOUNTING OPERATION HOLDING & HSI DEPARTMENT HEAD,0.99,0.9864583333333332,0.015,1.00446875,1.1,1.0
95.0,201903276,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,FINANCE & ACCOUNTING OPERATION HOLDING & HSI DEPARTMENT,ACCOUNTING OFFICER,0.983,0.9739583333333334,0.015,0.99664375,1.017777777777778,1.0
